total_expense;age;sex;pdv;client;campaing;purchase_date
420;50;0;3;17701;6;2021-09-24
765;49;1;2;67171;8;2020-09-24
592;45;1;0;45695;10;2021-04-19
335;30;0;2;38074;1;2019-07-04
310;8;0;2;99524;9;2019-06-21
767;30;0;0;34225;9;2018-09-28
243;28;0;0;63315;8;2019-08-06
525;29;0;0;68288;6;2020-09-25
370;46;1;0;57228;4;2019-09-04
716;45;1;3;95459;3;2019-11-11
314;33;0;1;17307;1;2019-07-28
587;20;1;5;16988;2;2019-11-16
161;31;1;1;73500;3;2018-11-10
625;7;1;1;33453;4;2022-09-04
692;21;0;1;86121;10;2022-01-22
502;5;1;5;31247;3;2022-07-14
70;49;1;3;65428;5;2021-12-03
886;9;1;5;50440;8;2018-07-20
820;26;1;1;53691;9;2022-07-02
703;1;1;2;58941;10;2020-02-14
243;38;0;3;36577;6;2022-04-05
298;45;0;2;42177;8;2020-07-31
833;6;0;5;68255;9;2019-10-16
969;11;1;3;86894;5;2019-02-10
998;12;1;0;2801;4;2020-09-27
354;39;0;3;35618;6;2019-01-06
884;22;1;1;78330;2;2021-06-28
76;47;0;4;49211;9;2019-06-11
132;44;1;0;23019;9;2021-03-11
761;32;0;0;84021;7;2019-03-07
287;42;0;5;68401;5;2020-01-13
365;10;1;5;76094;3;2022-03-25
477;19;1;5;4270;2;2020-04-03
231;33;1;3;62536;6;2022-05-23
348;12;1;2;26609;2;2022-04-23
875;33;1;1;29200;2;2018-03-02
874;15;0;3;68827;6;2019-07-21
410;6;0;1;19233;9;2022-04-13
507;48;1;1;80790;3;2020-11-13
187;32;0;5;49440;5;2022-03-17
678;45;0;1;60496;7;2020-11-17
277;22;1;1;26457;10;2021-10-24
980;37;0;2;58333;7;2018-12-01
71;43;0;0;86431;7;2021-11-19
860;31;0;0;9103;7;2020-08-17
680;40;0;3;78009;9;2022-02-17
638;25;0;3;33397;7;2019-09-03
249;4;0;1;18749;9;2021-03-03
338;22;0;2;75480;10;2021-12-13
354;3;1;3;28150;6;2020-10-26
258;21;1;0;97581;7;2020-10-03
880;8;0;4;36251;7;2020-11-22
64;9;1;3;45577;7;2020-05-15
921;44;1;2;17730;2;2022-03-15
967;33;1;5;90193;5;2022-05-28
278;23;0;2;91125;10;2018-03-13
79;28;0;4;92622;7;2018-05-07
387;10;0;4;79022;3;2018-09-21
186;14;0;4;74953;9;2021-07-22
198;1;0;2;79345;9;2020-01-26
738;33;1;4;32069;2;2022-03-18
818;16;0;0;39113;8;2020-06-30
256;11;0;4;79214;8;2020-08-07
90;33;0;4;80100;5;2020-07-08
136;23;1;0;31547;5;2019-08-03
106;41;1;3;46614;3;2019-03-26
223;3;0;2;3776;10;2018-03-18
504;50;0;3;11674;1;2022-05-31
54;49;0;2;31123;7;2020-11-25
593;40;0;2;3017;1;2021-07-13
645;38;1;4;83956;9;2018-11-12
972;16;0;5;10146;7;2019-11-05
865;3;0;0;25771;9;2018-03-04
681;31;1;2;42114;5;2020-03-09
893;34;1;3;36055;9;2019-03-02
957;31;1;2;75093;6;2023-01-18
437;28;0;1;3172;9;2020-03-23
74;28;0;2;32728;7;2018-06-14
488;10;1;4;90340;4;2021-04-17
823;18;1;2;3846;10;2022-01-22
199;30;0;0;68583;3;2018-11-09
538;31;0;0;4011;3;2018-08-25
987;35;0;4;50521;2;2021-12-07
559;12;0;3;54093;1;2020-05-15
294;23;0;4;18486;10;2021-10-05
